Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered
USA,"104,256",+130,"1,704 ",+8,"2,525"
Italy,"86,498",,"9,134 ",,"10,950"
Spain,"72,248","+6,529","5,690 ",+552,"12,285"
Germany,"53,340","+2,469",399 ,+48,"6,658"
Iran,"35,408","+3,076","2,517 ",+139,"11,679"
France,"32,964",,"1,995 ",,"5,700"
UK,"14,543",,759 ,,135
Switzerland,"13,226",+298,240 ,+9,"1,530"
S. Korea,"9,478",+146,144 ,+5,"4,811"
Belgium,"9,134","+1,850",353 ,+64,"1,063"
Netherlands,"8,603",,546 ,,3
Austria,"7,712",+15,68 ,+10,225
Turkey,"5,698",,92 ,,42
Canada,"4,757",,55 ,,354
Portugal,"4,268",,76 ,,43
Norway,"3,807",+36,20 ,+1,7
Australia,"3,635",+257,14 ,+1,170
Brazil,"3,477",+60,93 ,+1,6
Israel,"3,460",+425,12 ,,89
Sweden,"3,069",,105 ,,16
Czechia,"2,422",+143,9 ,,11
Malaysia,"2,320",+159,27 ,+1,320
Ireland,"2,121",,22 ,,5
Denmark,"2,046",,52 ,,1
Ecuador,"1,627",,41 ,,3
Chile,"1,610",,5 ,,43
Luxembourg,"1,605",,15 ,,40
Japan,"1,499",,49 ,,372
Romania,"1,452",+160,29 ,+3,139
Poland,"1,436",+47,16 ,,7
Pakistan,"1,408",+35,11  ,,25
Russia,"1,264",+228,4 ,,49
Thailand,"1,245",+109,6 ,+1,97
South Africa,"1,170",,1 ,,31
Finland,"1,165",+124,7 ,,10
Indonesia,"1,155",+109,102 ,+15,59
Saudi Arabia,"1,104",,3  ,,35
Philippines,"1,075",+272,68 ,+14,35
Greece,966,,28 ,,52
India,933,+46,20 ,,84
Iceland,890,,2 ,,97
Panama,786,,14 ,,2
Singapore,732,,2 ,,183
Mexico,717,+132,12 ,+4,4
Diamond Princess,712,,10 ,,597
Argentina,690,+101,17  ,+4,72
Estonia,645,+70,1 ,,20
Peru,635,,11 ,,16
Croatia,635,+49,4 ,+1,45
Slovenia,632,,9 ,,10
Dominican Republic,581,,20 ,,3
Qatar,562,, ,,43
Colombia,539,,6 ,,10
Egypt,536,,30 ,,116
Serbia,528,,8 ,,42
Hong Kong,519,,4 ,,111
Iraq,506,+48,42 ,+2,131
Bahrain,473,+7,4 ,,254
New Zealand,451,+83, ,,50
Lebanon,412,+21,8 ,,27
Algeria,409,,26 ,,29
UAE,405,,2 ,,52
Lithuania,382,+24,5 ,,1
Armenia,372,+43,1 ,,28
Morocco,358,+13,23 ,,11
Hungary,343,+43,11 ,+1,34
Bulgaria,313,+20,5 ,+2,9
Ukraine,311,+1,8 ,+3,5
Latvia,305,+25, ,,1
Taiwan,283,+16,2 ,,30
Uruguay,274,+36, ,,
Slovakia,269,, ,,2
Andorra,267,,3 ,,1
Costa Rica,263,,2 ,,3
Bosnia and Herzegovina,257,+20,4 ,,5
Jordan,235,,1 ,,18
Kuwait,235,+10, ,,64
Tunisia,227,,7 ,,2
San Marino,223,,21 ,,6
North Macedonia,219,,3 ,,3
Kazakhstan,204,+54,1 ,,14
Moldova,199,,2 ,,2
Albania,186,,8 ,,31
Burkina Faso,180,,9 ,,12
Vietnam,169,+6, ,,21
Azerbaijan,165,,3 ,,15
